"","Song","Singer","Album"
"85","떨어지는 낙엽까지도","헤이즈 (Heize)","만추"
"86","변명","김필","yours, sincerely "
"87","Bunny","백예린","Every letter I sent you."
"88","IDOL","방탄소년단","LOVE YOURSELF 結 `Answer`"
"89","이별은 늘 그렇게 (Duet. 정은지)","허각","이별은 늘 그렇게"
"90","헤어져줘서 고마워","벤","헤어져줘서 고마워"
"91","우리 왜 헤어져야 해","신예영","우리 왜 헤어져야 해"
"92","嗜 (Obsession)","EXO","OBSESSION - The 6th Album"
"93","주저하는 연인들을 위해","잔나비","전설"
"94","나의 어깨에 기대어요","10cm","호텔 델루나 OST Part.2"
"95","lovelovelove","백예린","Every letter I sent you."
"96","솔직하게 말해서 나","김나영","솔직하게 말해서 나"
"97","이별행동","이우","이별행동"
"98","Alone","Crush","From Midnight To Sunrise"
"99","Coming Home (Sung by 태일, 도영, 재현, 해찬)","NCT U","STATION X 4 LOVEs for Winter Part.2 "
"100","Mr.gloomy","백예린","Every letter I sent you."
